Counts measured,Temperature measured,Temperature setpoint,Time
28.866666666666667,19.6,25.0,0.0
28.866666666666667,19.6,25.0,0.1
28.866666666666667,19.6,25.0,0.2
28.0,19.6,25.0,0.3
25.266666666666666,19.8,25.0,0.4
23.6,20.1,25.0,0.5
25.0,20.5,25.3,0.6
28.866666666666667,21.0,25.8,0.7
32.733333333333334,21.5,26.3,0.8
34.2,22.0,26.8,0.9
33.333333333333336,22.5,27.3,1.0
32.333333333333336,23.1,27.8,1.1
31.6,23.6,28.3,1.2
29.6,24.2,28.8,1.3
29.066666666666666,24.8,29.3,1.4
33.46666666666667,25.4,29.8,1.5
38.46666666666667,25.9,30.3,1.6
36.4,26.5,30.8,1.7
29.333333333333332,27.0,31.3,1.8
23.533333333333335,27.6,31.8,1.9
20.866666666666667,28.1,32.3,2.0
19.666666666666668,28.6,32.8,2.1
20.866666666666667,29.2,33.3,2.2
24.066666666666666,29.7,33.8,2.3
29.0,30.2,34.3,2.4
32.86666666666667,30.7,34.8,2.5
34.2,31.2,35.3,2.6
34.46666666666667,31.7,35.8,2.7
35.46666666666667,32.2,36.3,2.8
36.333333333333336,32.7,36.8,2.9
34.266666666666666,33.3,37.3,3.0
30.266666666666666,33.8,37.8,3.1
28.333333333333332,34.3,38.3,3.2
30.933333333333334,34.8,38.8,3.3
33.46666666666667,35.3,39.3,3.4
32.2,35.8,39.8,3.5
28.4,36.4,40.3,3.6
26.533333333333335,36.9,40.8,3.7
27.0,37.4,41.3,3.8
28.533333333333335,37.9,41.8,3.9
30.666666666666668,38.5,42.3,4.0
33.266666666666666,39.0,42.8,4.1
33.4,39.5,43.3,4.2
30.933333333333334,40.1,43.8,4.3
29.6,40.6,44.3,4.4
31.2,41.1,44.8,4.5
33.46666666666667,41.6,45.3,4.6
35.0,42.2,45.8,4.7
35.06666666666667,42.7,46.3,4.8
33.733333333333334,43.2,46.8,4.9
35.86666666666667,43.7,47.3,5.0
41.6,44.3,47.8,5.1
44.8,44.8,48.3,5.2
43.06666666666667,45.3,48.8,5.3
41.2,45.8,49.3,5.4
39.6,46.3,49.8,5.5
38.86666666666667,46.9,50.3,5.6
41.733333333333334,47.4,50.8,5.7
46.0,47.9,51.3,5.8
46.733333333333334,48.4,51.8,5.9
45.666666666666664,49.0,52.3,6.0
47.53333333333333,49.5,52.8,6.1
51.4,50.0,53.3,6.2
53.266666666666666,50.5,53.8,6.3
52.06666666666667,51.0,54.3,6.4
50.53333333333333,51.6,54.8,6.5
50.733333333333334,52.1,55.3,6.6
52.4,52.6,55.8,6.7
56.4,53.1,56.3,6.8
61.6,53.7,56.8,6.9
